problemName,Count
Concert Hall Scheduling,4
Infallibly Crack Perplexing Cryptarithm,4
Slimming Plan,4
Weather Forecast,4
Where is the Boundary,4
Exhibition 2,4
Don't Burst the Balloon,4
Change a Password,4
Prowler,4
Programming Contest II,4
Life Game,4
Pathological Paths,4
Angel Relief,4
Sum of Different Primes,4
Scone,4
Stylish,4
Parade,4
Mod!Mod!,4
Expected Allowance,4
Antigravity,4
AddMul,4
Approximately sin,4
Arrows,4
Sleeping Cats,4
Three Meals,4
ICPC: Ideal Coin Payment and Change,4
Convenience Store,4
Akabeko 20,4
Off Balance,4
Nearest Station,4
Milky Way,4
Verbal Arithmetic,4
Planning Rolling Blackouts,4
Ennichi,4
Simple Othello,4
Social,4
Earthquakes,4
Taxi,4
Points on a Straight Line,4
Shiritori,4
Evacuation Site,4
Merry Christmas,4
Common Sub-String,4
Magical Girl Sayaka-chan,4
Swap Cipher,4
Doctor's Strange Particles,4
Exploring Caves,4
School of Killifish,4
Get a Rectangular Field,4
Tree Propagation,4
Unit Fraction Partition,4
Marathon Match,4
N-Sukumi Janken,4
Spring Tiles,4
Infinity Maze,4
Changing the Sitting Arrangement,4
Number Sorting,4
Hokkaido University 2,4
Left Truncatable Prime,4
Fermat's Last Theorem,4
Roads on Towns,4
Fastest Route,4
Lost Number,4
Riffle Shuffle,4
Shopping in JOI Kingdom,4
Independent Research,4
YAML,4
Factorization of Quadratic Formula,4
Strawberry 2,4
Lion,4
Hating Crowd,4
Voting,4
Study Session,4
Shipura,4
Star Watching,4
Consistent Trading,4
Permutation Sort,4
Whist,4
For the Peace,4
AIGo,4
Derangement,4
Futon,4
Yu-kun Likes Letters in the English Alphabet,4
U and U,4
Xor Mart,4
Binary Tree Intersection And Union,4
iff,4
Extraordinary Girl II,4
Highway Network,4
escape,4
Grid Mori,4
Product Sale Lines,4
Movie,4
ReverseSort,4
Power Subsequences,4
Merge Sequences,4
New Drug Development,4
Deadlock,4
Subset Coloring,3
Parentheses Inversion,3
On-Call,3
Expectation of ST Informant,3
Gift Exchange,3
Range Same Query,3
Similarity of Subtrees,3
Rotation ,3
Exponential Path,3
Taking a Seat,3
Knight Fork,3
Watch the Marathon,3
i18n,3
Short Circuit Evaluation,3
All Japan Association of Return home,3
Zor,3
Multistory Parking Lot,3
Eleven Puzzle,3
Jam,3
Non-trivial Common Divisor,3
UFO Shooting Down Operation,3
Stoning Fortune,3
AddMulSubDiv,3
Othello,3
nCm,3
Ghost Legs,3
School Cafeteria,3
Coin and Die,3
Nd Explosion,3
Cutlet Sandwich,3
Board,3
Halting Problem,3
Palindromic Subsequences,3
Pivots,3
Rectangle Game,3
Anagram,3
Capture Ebichan,3
Cuboid Boat,3
RPG Maker,3
Lupin The 4th,3
Sneaking,3
Internet Protocol Address,3
String With Rings,3
Interactive Number Guessing,3
Falling Block Puzzle,3
AI,3
Boring Commercials,3
6/2(1+2),3
Extraordinary Girl I,3
The Balance,3
Sigma,3
Leaky Cryptography,3
Efficient Problem Set,3
Four Arithmetic Operations,3
Spellcasters,3
Carrot Tour,3
LR,3
Palindromic Anagram,3
RLE Replacement,3
Patience,3
Rational Irrationals,3
Strange Key,3
Everlasting Zero,3
Box Witch,3
Robot Arm,3
Mobile Phone Coverage,3
Hidden Anagrams,3
Wall Making Game,3
Unhappy Class,3
Dominoes Arrangement,3
Icpcan Alphabet,3
Handing out Balloons,3
Wish upon a shooting star,3
String Compression,3
Winter Bells,3
Time is Money,3
On or Off,3
Reverse a Road II,3
Cookie Counter,3
Rectangular Stamps,3
Accelerated Railgun,3
Quest of Merchant,3
TiMe Table,3
Life Line,3
String Conversion,3
Shortest Common Non-Subsequence,3
Perm Query,3
Ordering,3
Super Star,3
Almost Same Substring,3
Tree Transformation Puzzle,3
Quiet Town,3
Equals are Equals,3
Hedro's Hexahedron,3
Do Geese See God?,3
Let's JUMPSTYLE,3
1 Day Passport,3
Beautiful Sequence,3
Magic Slayer,3
Luigi's Tavern,3
Paper Fortune,3
Erratic Sleep Habits,3
Rental DVD Shop NEO,3
Mysterious Operator,3
JOI Park,3
Cake 2,3
Festivals in JOI Kingdom,3
Bug Party,3
Sibling Rivalry,3
Water Tank,3
Project Management,3
Find the Multiples,3
Zero Division Checker,3
ID,3
Search of Concatenated Strings,3
Ononokomachi's Edit War,3
Anchored Balloon,3
Colored Octahedra,3
Walking Santa,3
Three-way Branch,3
Kanglish:Analysis on Artificial Language,3
Dice Stamp,3
Fundraising Street,3
Authentication Level,3
Teleportation Network,3
Wind Passages,3
Unit Converter,3
Dragon Fantasy,3
Exposition,3
An Equation in a Mine,3
Parentheses Editor,3
Bit Operation Game,3
Gift Exchange Party,2
Butterfly,2
Triangle and Circle,2
Push!!,2
Many Decimal Integers,2
Range Count Query,2
Perfect,2
Delivery Company,2
Family Tree,2
Ice Maze,2
And Then. How Many Are There?,2
Go around the Labyrinth,2
Lost in Space,2
Roll Cake,2
Katsu Sando,2
Scheduler,2
DisconnectedGame,2
Treasure Mountains,2
Dice Puzzle,2
Sliding Block Puzzle,2
AYBABTU,2
Colored Pencils and Caps,2
Die Game,2
Collecting Balls,2
Expression Mining,2
Count Pow Sum,2
Fractional Knapsack,2
Round Trip,2
Sashimi,2
A Broken Door,2
Doctor's Research Rooms,2
Keima,2
Light Road,2
Mobile Network,2
hosonagaitokoro,2
Network Reliability,2
Thirds,2
Rose Garden Witch,2
Fishnet,2
Immortal Jewels,2
Forecast of Forces,2
Atomic Car Race,2
Infinite Problems,2
Visibility,2
Angel Stairs,2
Network Mess,2
Poor Mail Forwarding,2
Power Calculus,2
Gift from the Goddess of Programming,2
Evening,2
The Morning after Halloween,2
Most Distant Point from the Sea,2
Euler Query,2
Power Game,2
Stopped Watches,2
Galaxy Wide Web Service,2
Everlasting...?,2
Voronoi Island,2
Headstrong Student,2
Pi is Three,2
The Closest Circle,2
Ferris Wheel,2
Tsumiki Box,2
Repeated Subsequences,2
2xL Minesweeper,2
Infected Land,2
Swimming Jam,2
MonochromeStone,2
Canal: Water Going Up and Down,2
Compile,2
Mobile Computing,2
Monster Trap,2
Bara-Bara Manju,2
Audience Queue,2
"Young, Poor and Busy",2
Edamame Energy Engineering,2
Time Sale,2
The Legendary Sword,2
Seishun 18 Kippu,2
At Boss's Expense,2
Construction Set,2
Walking,2
Bridge Construction,2
Stopping Problem,2
[[iwi]],2
Divide the Cake,2
Organize Your Train,2
Dungeon Quest II,2
Step Step Evolution,2
The Castle,2
Rabbit Plays Games!,2
Graph Construction,2
Autumnal Illumination,2
Range Totient Query,2
Pachimon Creature,2
Jigsaw Puzzle and Detective,2
Inherit the Spheres,2
Kaeru Jump,2
THE BYDOLM@STER,2
Book Replacement,2
Automotive Navigation,2
Pie Chart is as easy as pie.,2
Dr. Podboq or: How We Became Asymmetric,2
Hanbunko,2
Decoding Ancient Messages,2
Casino,2
Knocker of the Gigas Cedar,2
Reordering the Documents,2
Candies 2,2
Land Division,2
Gochiusa-Number,2
Shiritori Compression,2
Broken Exit,2
Mapping,2
Persimmon,2
The Diversity of Prime Factorization,2
Hierarchical Calculator,2
Safety Inspection,2
What Goes Up Must Come Down,2
Yu-kun Likes an Integer,2
Mail Order,2
Finding the Largest Carbon Compound Given Its Long,2
Line Puzzle,2
Hard Beans,2
Simple GUI Application,2
Ruins,2
Computation of Minimum Length of Pipeline,2
Dense Amidakuji,2
Hyperrectangle,2
Mystery of an Ancient Ruin,2
Prime Routing,2
Nim without Zero,2
Chopsticks,2
Catch a Thief,2
Wall,2
Arojam's Mask,2
Coin Slider,2
Event Hopping,2
Rock-Scissors-Paper Expression,2
Yamanote-line Game,2
Donut Decoration,2
Graduation Ceremony,2
IOI Manju,2
Campaign,2
Three-Axis Views,2
East Wind,2
Baseball,2
Odd and Even Spirit,2
SNS,2
Cabbage,2
Secrets of Legendary Treasure,2
Yokohama Phenomena,2
Pots,2
Sendame,2
RMQ,2
Modern Mansion,2
Country in Distortion,2
Modern Announce Network,2
Izua Dictionary,2
Black Company,2
Cats Going Straight II,2
Displayed tweets,2
Railroad,2
Smartphone Game,2
Art Exhibition,2
Unique Subsequence,2
Room of Time and Spirit,2
Ninja Map,2
Happy End Problem,2
Yu-kun Likes Rectangles,2
Endless BFS,2
Monster Factory,2
LotsOfMountains,2
Midnight Teatime,2
Gridgedge,2
Shuttle Run,2
K Cards,2
One-Time Path,2
School Excursion,2
Frame,2
A Long Ride on a Railway,2
Cyber Guardian,2
Magical Bridges,2
Stack Maze,2
Placing Medals on a Binary Tree,2
Jigsaw Puzzles for Computers,2
Pile Up!,2
Cyclic Sugoroku,2
Donut Hole,2
Potatoes,2
Square Carpets,2
Wall Clocks,2
Ghost,2
English,2
Satake likes straight,2
Count Words,2
B2D,2
Bridge Construction Planning,2
Computer Onesan,2
Cube of Two,2
Gym with Many Rules,2
Game on Tree,2
Slates,2
Everlasting -One-,2
Graph Making,2
No Story,2
D's Ambition,2
String Puzzle,2
Great Strategy for Bring Up Grade,2
Rolling Dice,2
Idempotent Filter,2
Friday the 13th,2
LISum,2
Watchin' TVA,2
Grid Number,2
Dowsing Machine,2
Rendezvous on a Tetrahedron,2
Huge Family,2
Universal and Existential Quantifiers,2
Distorted Love,2
Undo Swapping,2
Black or White,2
The Great Summer Contest,2
Squid Multiplication,2
Pizza Delivery,2
Pattern Language,2
Chocolate with Heart Marks,2
Time Manipulation,2
Driving an Icosahedral Rover,1
Flipping Parentheses,1
Hidden Tree,1
The Two Men of the Japanese Alps,1
Counting Cycles,1
Ant Nest,1
Towns along a Highway,1
Space Golf,1
ASCII Expression,1
Chemist's Math,1
One-Way Conveyors,1
Ambiguous Encoding,1
Sixth Sense,1
Eulerian Flight Tour,1
Skinny Polygon,1
Filling Game,1
Weaker than Planned,1
Let There Be Light,1
Where's Wally,1
Long Distance Taxi,1
Bringing Order to Disorder,1
Cover the Polygon with Your Disk,1
Beautiful Spacing,1
Matrix Calculator,1
Clock Hands,1
Fair Chocolate-Cutting,1
28,1
The Last Door,1
High and Low Cube,1
Cleaning Robot 2.0,1
Course Planning for Lazy Students,1
Frisbee Dogs,1
Ghost Buster!,1
Crop Circle,1
The Last Dungeon,1
Ben Toh,1
Mysterious Onslaught,1
The House of Huge Family,1
Cutting a Chocolate,1
Cosmic Market,1
Sum of the Number of Triangles,1
Everything Starts With Your Vote,1
World Domination,1
11224111122411,1
Live Schedule,1
Make KND So Fat,1
Spiral Footrace,1
Multi-column List,1
Jigsaw Puzzle,1
Missing Numbers,1
Nets of Dice,1
Canal,1
Coin Collecting 2,1
Warehouse Robot,1
Copy and Sum,1
Reindeer with no sense of direction,1
JOI Flag,1
Gifts,1
Xiao Long Bao,1
Cutting,1
Take the 'IOI' train,1
Star-shaped Pentagon,1
Whispering Game,1
Food stalls,1
Disaster Response Simulation,1
Semiexpress,1
Commuting Route,1
Coin Collecting,1
Rotating Mass Game,1
Fishermen Following the Rules,1
The Shortest Path on the Spider's Web,1
Reorganization of Highway Network,1
Trade Plan,1
EGOI Exhibition,1
Coloured Mountain Hut,1
Passport,1
What is the Number in my Mind ?,1
Chemical Substance Alpha,1
Zigzag,1
Shy Polygons,1
Telescope,1
e-market,1
77377,1
Beehives,1
Nim,1
GIGA Universe Cup,1
Gap,1
Confusing Login Names,1
Color the Map,1
Subdivide The Land,1
How I Mathematician Wonder What You Are!,1
Name the Crossing,1
Cubic Eight-Puzzle,1
Lowest Pyramid,1
Geometric Map,1
The Teacher's Side of Math,1
Digits on the Floor,1
Spherical Mirrors,1
Traveling Cube,1
Top Spinning,1
Common Polynomial,1
Alien Messages,1
Pump up Batteries,1
Co-occurrence Search,1
Walking Ant,1
Heavenly Jewels,1
Earth Observation with a Mobile Robot Team,1
Bug,1
Two Polygons,1
Hexerpents of Hexwamp,1
ICPC: Intelligent Congruent Partition of Chocolate,1
Tournament Record,1
Tighten Up!,1
Castle in the Sky,1
Laser Beam Reflections,1
Watchdog Corporation,1
Common-Prime Sort,1
Patisserie ACM,1
Rotate and Rewrite,1
A Die Maker,1
Don't Cross the Circles!,1
Lattice Practices,1
To be Connected or not to be that is the Question,1
Pipeline Scheduling,1
Beaker,1
Trapezoids,1
Mirror Illusion,1
Napoleon's Grumble,1
Moduic Squares,1
Formica Sokobanica,1
Integer in Integer,1
Let's Go To School,1
Medical Inspection,1
Rings,1
Tree Reconstruction,1
Colorful Tree,1
Red Black Balloons,1
SIRO Challenge,1
Palindrome Compliment,1
Permutation Score,1
Putter,1
Nose And Lung,1
Bombing,1
Rooks Game,1
All your base are belong to us,1
Venn Diagram,1
Doctor Course Is Recommended,1
Disciple Life is Hard,1
Dangerous Delivery,1
Elevator Hall Number,1
Tree,1
Flowers,1
Square in Circles,1
Points and Lines,1
Website Tour,1
String Magic,1
Apples,1
Numbers game,1
Iyasugigappa,1
Fissure Puzzle Easy,1
Round-trip String,1
Piano,1
Longest Increasing Sequence,1
Sports Days 2.0,1
Audition,1
Card,1
DNA,1
Cutting Subarray,1
Canisar Cipher,1
A Two Floors Dungeon,1
Connect,1
Repairing,1
Usoperanto,1
Dial Key,1
Earn Big,1
goto busters,1
Sim Forest 2013,1
Double or Increment,1
Cyclic Shift Sort,1
Don't Burn Kotatsu Turtle,1
Phone Number,1
Reverse Game,1
Round And Round,1
Texas hold 'em,1
Combine Two Elements,1
Billiard,1
Light,1
AABABCAC,1
Cluster Network,1
Social Monsters,1
Wave Attack,1
Nested Repetition Compression,1
Stamp Rally,1
Route Calculator,1
Janken Master,1
Nearly Cyclic String,1
Multiplication Is Interesting,1
Indecision,1
Vector Field,1
Identity Function,1
Dimension travel,1
Marching Course,1
Laser Cutter,1
Industrial Convex Pillar City,1
Delete Files,1
Shifting a Matrix,1
Imagawayaki Man,1
Dance Now!,1
Rainy Bus Stops,1
Fractal Tree,1
Suntan,1
Land Inheritance,1
Lost Graph,1
Compressed Formula,1
Multisect,1
Pipe Fitter and the Fierce Dogs,1
Share the Ruins Preservation,1
Escape from the Hell,1
We don't wanna work!,1
Match Peas War,1
Low Range-Sum Matrix,1
Alternate Escape,1
Phutball,1
Tree Separator,1
A + B,1
Trip to Kyoto,1
Optimal alpha beta pruning,1
Graph Automata Player,1
Spotlight Movement,1
Gravity Point,1
Clique Coloring,1
Snake,1
Rough Sorting,1
Additions,1
Prefix Suffix Search,1
Hopping Hearts,1
Bumpy Array,1
Cram School Schedule,1
Rescue a Postal Worker,1
Cube Coloring,1
Antiaircraft Shield,1
Polygon Guards,1
Tokyo Olympics Center,1
Unfair Game,1
Content Delivery,1
Elevator,1
Cost Performance Flow,1
ICPC Teams,1
JAG-channel II,1
Runner and Sniper,1
Separate String,1
Anipero 2012,1
Acrophobia,1
Acceleration of Network,1
Equilateral Triangular Fence,1
Let's Move Tiles!,1
Addition on Convex Polygons,1
Luggage,1
Connection of Arithmetic Units,1
Princess' Perfectionism,1
Not Allow Triangle,1
Village of Lore,1
Trim It Step by Step,1
Villa of Emblem Shape,1
Data Center on Fire,1
Karakuri Doll,1
Princess's Japanese,1
"Princess, a Cryptanalyst",1
"Princess, a Strategist",1
Miko Mi String,1
Restaurant,1
Tetrahedra,1
International Party,1
Hide-and-seek,1
Slippy Floors,1
!,1
palindromic?,1
Rhythm Machine,1
Game,1
Symmetry,1
Stop and Go,1
Defend the Bases,1
Flipping Colors,1
Disappearing Sequence,1
Janken,1
Equivalent Deformation,1
Color Inversion on a Huge Chessboard,1
Last One,1
Planarian Regeneration,1
Warping Girl,1
Cheat Case,1
Remainder Zero,1
Caterpillar,1
Changing Grids,1
Yu-kun Likes To Play Darts,1
A White Wall,1
Mountain Climbing,1
Puzzle and Hexagons,1
Squid Ink,1
Bomb Removal,1
Array Update 2,1
Reflection Warp Machine,1
Star,1
Char Swap,1
Gathering,1
Unknown Germ,1
The Kingdom of Akabeko,1
Disk,1
Dungeon 2,1
Complex Paper Folding,1
Development of Small Flying Robots,1
Deciphering Characters,1
Warp Drive,1
Garbage Disposal,1
Tatami,1
Fish Tank,1
Revenge of the Round Table,1
Minimize movement,1
AND Partial Sum,1
Vector Compression,1
Shadow Witch,1
Class Representative Witch,1
Set-constructing Witch,1
Chinese Classics,1
Revenge of Champernowne Constant,1
Mysterious Maze,1
Sky Jump,1
Pyramid Graph,1
Matrix Operation,1
Multi Ending Story,1
Testing Circuits,1
Chicken or the Egg,1
TransferTrain,1
IkaNumber,1
HullMarathon,1
RabbitLunch,1
Bicube,1
Bubble Puzzle,1
Shelter,1
Painting Tree,1
Tree of Peony,1
The Enemy of My Enemy is My Friend,1
Are Cards Snacks?,1
Sister Ports,1
Power of Power,1
Entangled with Lottery,1
Common Palindromes,1
Dungeon Wall,1
Re:Square,1
Find the Point,1
Queen's Case,1
Maximizing Pocket Money,1
Safe Area,1
Neko's Treasure,1
String Game,1
Addition Game,1
Two Everywhere,1
The Melancholy of Thomas Right,1
Stolen Jewel,1
K Poker,1
WISWIS,1
Problem B,1
How to Create a Good Game,1
LEQ and XOR,1
Dice Room,1
XOR Walk,1
Two-Wheel Buggy,1
Operator,1
Sakura Poetry,1
Round Tour,1
Programming Contest Challenge Book,1
Cache Strategy,1
Buttons,1
Fox Number,1
Area Folding,1
